Month,Price (€/m^2),District
2018-05-01,7895,CentroStorico
2018-04-01,7913,CentroStorico
2018-03-01,7846,CentroStorico
2018-02-01,7751,CentroStorico
2018-01-01,7745,CentroStorico
2017-12-01,7790,CentroStorico
2017-11-01,7840,CentroStorico
2017-10-01,7596,CentroStorico
2017-09-01,7590,CentroStorico
2017-08-01,7739,CentroStorico
2017-07-01,7737,CentroStorico
2017-06-01,7752,CentroStorico
2017-05-01,7694,CentroStorico
2017-04-01,7636,CentroStorico
2017-03-01,7484,CentroStorico
2017-02-01,7628,CentroStorico
2017-01-01,7462,CentroStorico
2016-12-01,7334,CentroStorico
2016-11-01,7444,CentroStorico
2016-10-01,7468,CentroStorico
2016-09-01,7474,CentroStorico
2016-08-01,7472,CentroStorico
2016-07-01,7473,CentroStorico
2016-06-01,7468,CentroStorico
2016-05-01,7471,CentroStorico
2016-04-01,7678,CentroStorico
2016-03-01,7744,CentroStorico
2016-02-01,7793,CentroStorico
2016-01-01,7746,CentroStorico
2015-12-01,7458,CentroStorico
2015-11-01,7034,CentroStorico
2015-10-01,6965,CentroStorico
2015-09-01,7055,CentroStorico
2015-08-01,7014,CentroStorico
2015-07-01,7053,CentroStorico
2015-06-01,6994,CentroStorico
2015-05-01,7288,CentroStorico
2015-04-01,7440,CentroStorico
2015-03-01,7438,CentroStorico
2015-02-01,7446,CentroStorico
2015-01-01,7523,CentroStorico
2014-12-01,7525,CentroStorico
2014-11-01,7560,CentroStorico
2014-10-01,7583,CentroStorico
2014-09-01,7604,CentroStorico
2014-08-01,7567,CentroStorico
2014-07-01,7536,CentroStorico
2014-06-01,7446,CentroStorico
2014-05-01,7415,CentroStorico
2014-04-01,7436,CentroStorico
2014-03-01,7498,CentroStorico
2014-02-01,7495,CentroStorico
2014-01-01,7370,CentroStorico
2013-12-01,7171,CentroStorico
2013-11-01,7147,CentroStorico
2013-10-01,7193,CentroStorico
2013-09-01,7193,CentroStorico
2013-08-01,7193,CentroStorico
2013-07-01,6992,CentroStorico
2013-06-01,6952,CentroStorico
2013-05-01,6946,CentroStorico
2013-04-01,6938,CentroStorico
2023-03-01,4044,Cermenate
2023-02-01,4048,Cermenate
2023-01-01,4049,Cermenate
2022-12-01,3951,Cermenate
2022-11-01,3922,Cermenate
2022-10-01,3936,Cermenate
2022-09-01,3947,Cermenate
2022-08-01,3946,Cermenate
2022-07-01,3930,Cermenate
2022-06-01,3899,Cermenate
2022-05-01,3778,Cermenate
2022-04-01,3762,Cermenate
2022-03-01,3861,Cermenate
2022-02-01,3818,Cermenate
2022-01-01,3817,Cermenate
2021-12-01,3750,Cermenate
2021-11-01,3756,Cermenate
2021-10-01,3745,Cermenate
2021-09-01,3722,Cermenate
2021-08-01,3769,Cermenate
2021-07-01,3769,Cermenate
2021-06-01,3809,Cermenate
2021-05-01,3825,Cermenate
2021-04-01,3751,Cermenate
2021-03-01,3589,Cermenate
2021-02-01,3504,Cermenate
2021-01-01,3513,Cermenate
2020-12-01,3545,Cermenate
2020-11-01,3638,Cermenate
2020-10-01,3556,Cermenate
2020-09-01,3444,Cermenate
2020-08-01,3488,Cermenate
2020-07-01,3381,Cermenate
2020-06-01,3211,Cermenate
2020-05-01,3130,Cermenate
2020-04-01,3138,Cermenate
2020-03-01,3070,Cermenate
2020-02-01,2994,Cermenate
2020-01-01,2868,Cermenate
2019-12-01,2784,Cermenate
2019-11-01,2813,Cermenate
2019-10-01,2839,Cermenate
2019-09-01,2837,Cermenate
2019-08-01,2806,Cermenate
2019-07-01,2807,Cermenate
2019-06-01,2804,Cermenate
2019-05-01,2741,Cermenate
2019-04-01,2747,Cermenate
2019-03-01,2734,Cermenate
2019-02-01,2723,Cermenate
2019-01-01,2745,Cermenate
2018-12-01,2755,Cermenate
2018-11-01,2740,Cermenate
2018-10-01,2698,Cermenate
2018-09-01,2755,Cermenate
2018-08-01,2808,Cermenate
2018-07-01,2768,Cermenate
2018-06-01,2754,Cermenate
2018-05-01,2797,Cermenate
2018-04-01,2807,Cermenate
2018-03-01,2857,Cermenate
2018-02-01,2843,Cermenate
2018-01-01,2890,Cermenate
2017-12-01,2859,Cermenate
2017-11-01,2895,Cermenate
2017-10-01,2859,Cermenate
2017-09-01,2916,Cermenate
2017-08-01,2939,Cermenate
2017-07-01,2928,Cermenate
2017-06-01,2846,Cermenate
2017-05-01,2903,Cermenate
2017-04-01,2890,Cermenate
2017-03-01,2988,Cermenate
2017-02-01,2976,Cermenate
2017-01-01,2890,Cermenate
2016-12-01,2857,Cermenate
2016-11-01,2795,Cermenate
2016-10-01,2791,Cermenate
2016-09-01,2797,Cermenate
2016-08-01,2783,Cermenate
2016-07-01,2800,Cermenate
2016-06-01,2794,Cermenate
2016-05-01,2795,Cermenate
2016-04-01,2788,Cermenate
2016-03-01,2784,Cermenate
2016-02-01,2741,Cermenate
2016-01-01,2711,Cermenate
2015-12-01,2729,Cermenate
2015-11-01,2790,Cermenate
2015-10-01,2822,Cermenate
2015-09-01,2822,Cermenate
2015-08-01,2824,Cermenate
2015-07-01,2890,Cermenate
2015-06-01,2908,Cermenate
2015-05-01,2891,Cermenate
2015-04-01,2864,Cermenate
2015-03-01,2821,Cermenate
2015-02-01,2820,Cermenate
2015-01-01,2826,Cermenate
2014-12-01,2853,Cermenate
2014-11-01,2884,Cermenate
2014-10-01,2896,Cermenate
2014-09-01,2918,Cermenate
2014-08-01,2937,Cermenate
2014-07-01,2972,Cermenate
2014-06-01,2973,Cermenate
2014-05-01,2989,Cermenate
2014-04-01,2891,Cermenate
2014-03-01,2925,Cermenate
2014-02-01,2918,Cermenate
2014-01-01,2926,Cermenate
2013-12-01,2919,Cermenate
2013-11-01,2953,Cermenate
2013-10-01,2935,Cermenate
2013-09-01,2935,Cermenate
2013-08-01,2935,Cermenate
2013-07-01,3030,Cermenate
2013-06-01,3081,Cermenate
2013-05-01,3108,Cermenate
2013-04-01,3116,Cermenate
2023-03-01,5082,CittaStudi
2023-02-01,5075,CittaStudi
2023-01-01,5004,CittaStudi
2022-12-01,4541,CittaStudi
2022-11-01,4484,CittaStudi
2022-10-01,4490,CittaStudi
2022-09-01,4516,CittaStudi
2022-08-01,4513,CittaStudi
2022-07-01,4516,CittaStudi
2022-06-01,4500,CittaStudi
2022-05-01,4439,CittaStudi
2022-04-01,4347,CittaStudi
2022-03-01,4200,CittaStudi
2022-02-01,4106,CittaStudi
2022-01-01,4083,CittaStudi
2021-12-01,4116,CittaStudi
2021-11-01,4117,CittaStudi
2021-10-01,4142,CittaStudi
2021-09-01,4143,CittaStudi
2021-08-01,4153,CittaStudi
2021-07-01,4118,CittaStudi
2021-06-01,4102,CittaStudi
2021-05-01,4050,CittaStudi
2021-04-01,3996,CittaStudi
2021-03-01,4006,CittaStudi
2021-02-01,4045,CittaStudi
2021-01-01,4014,CittaStudi
2020-12-01,3953,CittaStudi
2020-11-01,3965,CittaStudi
2020-10-01,3950,CittaStudi
2020-09-01,3910,CittaStudi
2020-08-01,3925,CittaStudi
2020-07-01,4102,CittaStudi
2020-06-01,4187,CittaStudi
2020-05-01,4133,CittaStudi
2020-04-01,4098,CittaStudi
2020-03-01,3986,CittaStudi
2020-02-01,3950,CittaStudi
2020-01-01,3954,CittaStudi
2019-12-01,3785,CittaStudi
2019-11-01,3731,CittaStudi
2019-10-01,3668,CittaStudi
2019-09-01,3660,CittaStudi
2019-08-01,3654,CittaStudi
2019-07-01,3601,CittaStudi
2019-06-01,3552,CittaStudi
2019-05-01,3508,CittaStudi
2019-04-01,3467,CittaStudi
2019-03-01,3434,CittaStudi
2019-02-01,3442,CittaStudi
2019-01-01,3426,CittaStudi
2018-12-01,3441,CittaStudi
2018-11-01,3385,CittaStudi
2018-10-01,3333,CittaStudi
2018-09-01,3370,CittaStudi
2018-08-01,3403,CittaStudi
2018-07-01,3379,CittaStudi
2018-06-01,3346,CittaStudi
2018-05-01,3350,CittaStudi
2018-04-01,3314,CittaStudi
2018-03-01,3290,CittaStudi
2018-02-01,3268,CittaStudi
2018-01-01,3262,CittaStudi
2017-12-01,3252,CittaStudi
2017-11-01,3194,CittaStudi
2017-10-01,3161,CittaStudi
2017-09-01,3119,CittaStudi
2017-08-01,3008,CittaStudi
2017-07-01,2892,CittaStudi
2017-06-01,2947,CittaStudi
2017-05-01,3007,CittaStudi
2017-04-01,2976,CittaStudi
2017-03-01,2920,CittaStudi
2017-02-01,2903,CittaStudi
2017-01-01,2884,CittaStudi
2016-12-01,2901,CittaStudi
2016-11-01,2918,CittaStudi
2016-10-01,2946,CittaStudi
2016-09-01,3000,CittaStudi
2016-08-01,2966,CittaStudi
2016-07-01,3000,CittaStudi
2016-06-01,3030,CittaStudi
2016-05-01,3006,CittaStudi
2016-04-01,3048,CittaStudi
2016-03-01,3070,CittaStudi
2016-02-01,3069,CittaStudi
2016-01-01,3089,CittaStudi
2015-12-01,3073,CittaStudi
2015-11-01,3066,CittaStudi
2015-10-01,3038,CittaStudi
2015-09-01,3006,CittaStudi
2015-08-01,3034,CittaStudi
2015-07-01,3048,CittaStudi
2015-06-01,3062,CittaStudi
2015-05-01,3042,CittaStudi
2015-04-01,3075,CittaStudi
2015-03-01,3070,CittaStudi
2015-02-01,3013,CittaStudi
2015-01-01,3010,CittaStudi
2014-12-01,3012,CittaStudi
2014-11-01,3066,CittaStudi
2014-10-01,3072,CittaStudi
2014-09-01,3109,CittaStudi
2014-08-01,3121,CittaStudi
2014-07-01,3140,CittaStudi
2014-06-01,3182,CittaStudi
2014-05-01,3169,CittaStudi
2014-04-01,3205,CittaStudi
2014-03-01,3238,CittaStudi
2014-02-01,3256,CittaStudi
2014-01-01,3270,CittaStudi
2013-12-01,3282,CittaStudi
2013-11-01,3289,CittaStudi
2013-10-01,3263,CittaStudi
2013-09-01,3263,CittaStudi
2013-08-01,3263,CittaStudi
2013-07-01,3316,CittaStudi
2013-06-01,3285,CittaStudi
2013-05-01,3315,CittaStudi
2013-04-01,3334,CittaStudi
2023-03-01,3804,Certosa
2023-02-01,3822,Certosa
2023-01-01,3791,Certosa
2022-12-01,3684,Certosa
2022-11-01,3619,Certosa
2022-10-01,3618,Certosa
2022-09-01,3617,Certosa
2022-08-01,3618,Certosa
2022-07-01,3625,Certosa
2022-06-01,3495,Certosa
2022-05-01,3425,Certosa
