"ITTER107","Territorio","TIPO_DATO7","Indicatori","CORREZ","Correzione","TIPO_ALLOGGIO2","Tipologia di esercizio","ATECO_2007","Ateco 2007","ISO","Paese di residenza dei clienti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-04","Apr-1993",7135673,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-05","Mag-1993",7207753,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-06","Giu-1993",12016413,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-07","Lug-1993",19571039,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-08","Ago-1993",27102535,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-09","Set-1993",12303492,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-10","Ott-1993",6286018,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-11","Nov-1993",4593970,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-12","Dic-1993",5511157,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-01","Gen-1994",6915447,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-02","Feb-1994",6483408,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-03","Mar-1994",6976804,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-04","Apr-1994",7740370,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-05","Mag-1994",7020946,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-06","Giu-1994",12477316,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-07","Lug-1994",20093110,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-08","Ago-1994",27938491,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-09","Set-1994",12730122,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-10","Ott-1994",6453919,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-11","Nov-1994",4641463,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-12","Dic-1994",5471665,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1995-01","Gen-1995",6826319,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1995-02","Feb-1995",6414109,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1995-03","Mar-1995",6967903,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1995-04","Apr-1995",7383107,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1995-05","Mag-1995",6962858,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1995-06","Giu-1995",12182844,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1995-07","Lug-1995",19953019,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1995-08","Ago-1995",27519412,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1995-09","Set-1995",12349112,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1995-10","Ott-1995",6315832,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1995-11","Nov-1995",4787471,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1995-12","Dic-1995",5804914,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1996-01","Gen-1996",6703151,,
