67693	12757
96505	17464
68027	13226
65231	12040
211245	31733
86180	21263
17043	6070
16766	6274
45045	10488
16661	5819
15189	5569
105236	17925
47418	11285
15230	5570
74997	14380
16762	6133
107942	21839
8699	3315
64620	17269
79938	14663
45049	13494
156931	23402
22969	6364
187387	23408
17156	7887
78590	17929
59451	14181
95492	20994
77831	15712
39192	9647
12803	5080
10219	4193
13845	4503
59554	15145
13182	5343
90692	16952
73544	13280
19899	6825
70502	14790
191438	29319
13003	5147
83754	17507
22067	5808
33932	8422
11512	4694
46673	10177
61594	16248
142676	24561
26667	7663
25284	6119
12785	5060
179023	22684
7209	2901
105030	23442
45828	13214
126094	21286
40310	11512
11956	4744
183667	39578
94838	17131
129869	22427
49222	11902
5300	2194
13586	4467
54988	11282
29778	7381
77206	15258
15108	5453
69384	12969
155435	29368
35092	8444
15869	5850
24968	8423
29243	6205
52005	11209
32672	8428
