Month,Price (€/m^2),District
2019-03-01,23.6,CentroStorico
2019-02-01,23.7,CentroStorico
2019-01-01,23.7,CentroStorico
2018-12-01,23.7,CentroStorico
2018-11-01,23.7,CentroStorico
2018-10-01,23.7,CentroStorico
2018-09-01,23.7,CentroStorico
2018-08-01,23.7,CentroStorico
2018-07-01,23.7,CentroStorico
2018-06-01,23.7,CentroStorico
2018-05-01,23.5,CentroStorico
2018-04-01,23.2,CentroStorico
2018-03-01,22.9,CentroStorico
2018-02-01,22.4,CentroStorico
2018-01-01,23.6,CentroStorico
2017-12-01,25.0,CentroStorico
2017-11-01,23.5,CentroStorico
2017-10-01,22.7,CentroStorico
2017-09-01,21.4,CentroStorico
2017-08-01,21.1,CentroStorico
2017-07-01,20.9,CentroStorico
2017-06-01,20.8,CentroStorico
2017-05-01,20.8,CentroStorico
2017-04-01,20.7,CentroStorico
2017-03-01,21.0,CentroStorico
2017-02-01,21.0,CentroStorico
2017-01-01,21.4,CentroStorico
2016-12-01,21.9,CentroStorico
2016-11-01,21.0,CentroStorico
2016-10-01,19.6,CentroStorico
2016-09-01,19.8,CentroStorico
2016-08-01,20.4,CentroStorico
2016-07-01,21.1,CentroStorico
2016-06-01,21.3,CentroStorico
2016-05-01,21.9,CentroStorico
2016-04-01,22.0,CentroStorico
2016-03-01,22.6,CentroStorico
2016-02-01,22.6,CentroStorico
2016-01-01,22.4,CentroStorico
2015-12-01,22.2,CentroStorico
2015-11-01,21.9,CentroStorico
2015-10-01,21.4,CentroStorico
2015-09-01,21.1,CentroStorico
2015-08-01,21.3,CentroStorico
2015-07-01,21.5,CentroStorico
2015-06-01,21.1,CentroStorico
2015-05-01,21.0,CentroStorico
2015-04-01,21.5,CentroStorico
2015-03-01,21.8,CentroStorico
2015-02-01,21.5,CentroStorico
2015-01-01,21.5,CentroStorico
2014-12-01,21.2,CentroStorico
2014-11-01,20.9,CentroStorico
2014-10-01,20.9,CentroStorico
2014-09-01,20.2,CentroStorico
2014-08-01,20.2,CentroStorico
2014-07-01,20.2,CentroStorico
2014-06-01,20.4,CentroStorico
2014-05-01,20.0,CentroStorico
2014-04-01,20.2,CentroStorico
2014-03-01,20.3,CentroStorico
2014-02-01,20.5,CentroStorico
2014-01-01,20.0,CentroStorico
2013-12-01,20.0,CentroStorico
2013-11-01,20.0,CentroStorico
2013-10-01,20.0,CentroStorico
2013-09-01,,CentroStorico
2013-08-01,,CentroStorico
2013-07-01,20.0,CentroStorico
2013-06-01,20.0,CentroStorico
2013-05-01,20.1,CentroStorico
2013-04-01,20.2,CentroStorico
2023-03-01,20.0,Cermenate
2023-02-01,20.0,Cermenate
2023-01-01,20.0,Cermenate
2022-12-01,18.7,Cermenate
2022-11-01,17.2,Cermenate
2022-10-01,17.3,Cermenate
2022-09-01,17.6,Cermenate
2022-08-01,17.6,Cermenate
2022-07-01,17.1,Cermenate
2022-06-01,17.0,Cermenate
2022-05-01,17.3,Cermenate
2022-04-01,17.5,Cermenate
2022-03-01,17.5,Cermenate
2022-02-01,16.9,Cermenate
2022-01-01,15.8,Cermenate
2021-12-01,16.1,Cermenate
2021-11-01,17.0,Cermenate
2021-10-01,17.7,Cermenate
2021-09-01,17.7,Cermenate
2021-08-01,17.0,Cermenate
2021-07-01,16.3,Cermenate
2021-06-01,15.8,Cermenate
2021-05-01,15.4,Cermenate
2021-04-01,15.0,Cermenate
2021-03-01,15.4,Cermenate
2021-02-01,15.6,Cermenate
2021-01-01,15.6,Cermenate
2020-12-01,16.7,Cermenate
2020-11-01,17.2,Cermenate
