Partiti,Tweet,Risultati,Colori,Tweet_p
FDI,"[0.0, 2853, 0]",4.3,blue,0.000
FI,"[0.0, 2259, 0]",14.04,lightblue,0.000
Lega,"[0.00019705210057539214, 25374, 5]",17.36,green,0.010
PD,"[0.0007742934572202865, 2583, 2]",18.81,red,0.039
M5S,"[0.003207184092366902, 1559, 5]",32.68,yellow,0.160
