source = http://www.columbia.edu/~mhs119/Sensitivity+SL+CO2/Table.txt

Anomaly(°C)	YB 2015
0.2400000000000002	1665.0
0.3699999999999992	2465.0
0.3699999999999992	3265.0
0.019999999999999574	4065.0000000000005
-0.16999999999999993	4865.0
0.03999999999999915	5465.000000000001
0.0	6265.000000000001
-0.07000000000000028	7065.0
0.1999999999999993	7865.0
0.27999999999999936	8665.0
-0.5399999999999991	9665.0
-0.7899999999999991	10465.0
-1.1600000000000001	11264.999999999998
-1.3200000000000003	11864.999999999998
-2.0299999999999994	12865.0
-2.24	13665.0
-3.08	14865.0
-3.3599999999999994	16065.000000000002
-4.279999999999999	17065.0
-4.51	17665.000000000004
-4.65	18465.0
-4.4399999999999995	18865.000000000004
-4.539999999999999	19565.0
-4.17	20565.0
-4.3100000000000005	21765.0
-4.1	22565.0
-4.17	23765.0
-4.039999999999999	24865.000000000004
-4.0600000000000005	25865.000000000004
-3.8599999999999994	26665.0
-3.67	27865.0
-3.5700000000000003	28765.0
-3.4299999999999997	29765.0
-3.4800000000000004	30765.000000000004
-3.289999999999999	31765.0
-3.59	32464.999999999996
-3.49	33565.0
-3.5700000000000003	34364.99999999999
-3.3599999999999994	35165.0
-3.5500000000000007	36364.99999999999
-3.2799999999999994	37665.0
-3.33	38464.99999999999
-3.16	39464.99999999999
-3.1799999999999997	40464.99999999999
-3.1400000000000006	41164.99999999999
-3.2799999999999994	41964.99999999999
-3.210000000000001	43065.0
-3.1400000000000006	44265.0
-3.0999999999999996	45465.0
-3.0700000000000003	46565.0
-3.0700000000000003	47565.0
-3.0600000000000005	48365.0
-3.16	49164.99999999999
-3.33	49964.99999999999
-3.01	50765.0
-2.9399999999999995	51364.99999999999
-2.8000000000000007	51964.99999999999
-2.5500000000000007	52864.99999999999
-2.4399999999999995	53465.0
-2.76	54264.99999999999
-2.8100000000000005	55264.99999999999
-2.6099999999999994	56065.0
-2.91	57065.0
-3.16	58165.0
-3.0	59165.0
-2.880000000000001	60565.0
-3.08	61964.99999999999
-3.08	62765.0
-2.91	63565.0
-3.24	64364.99999999999
-3.26	65165.00000000001
-3.2300000000000004	66165.0
-2.8900000000000006	67465.0
-2.6500000000000004	68965.0
-2.33	70365.0
-2.09	71565.0
-2.0999999999999996	72965.0
-2.210000000000001	74065.0
-2.17	75065.0
-1.9100000000000001	76664.99999999999
-1.6899999999999995	77865.0
-1.3200000000000003	78665.0
-1.2599999999999998	79464.99999999999
-1.3499999999999996	80665.0
-1.3000000000000007	81264.99999999999
-1.4700000000000006	82065.0
-1.9299999999999997	83265.0
-1.83	84664.99999999999
-1.7100000000000009	85664.99999999999
-1.8399999999999999	86865.0
-1.9399999999999995	87965.0
-1.92	88765.0
-1.7699999999999996	89565.0
-1.8000000000000007	90365.00000000001
-1.8599999999999994	91164.99999999999
-1.6300000000000008	92265.0
-1.1500000000000004	93265.0
-1.3499999999999996	94265.0
-1.2899999999999991	95165.0
-1.1199999999999992	96165.0
-1.1500000000000004	96965.0
-1.4299999999999997	97965.0
-1.2300000000000004	98865.0
-1.2599999999999998	99765.0
-1.1500000000000004	100965.0
-0.9900000000000002	101965.0
-0.9399999999999995	102765.0
-1.1500000000000004	103865.0
-1.0899999999999999	105265.0
-1.2799999999999994	106265.0
-1.4700000000000006	107265.0
-1.5899999999999999	108865.0
-1.42	110065.0
-1.4900000000000002	111065.0
-1.1500000000000004	112065.0
-0.9399999999999995	113065.0
-0.7599999999999998	113764.99999999999
