Data,url,raw,utente,links,risposte,like,quote,retweet
2018-11-19 17:12:06+00:00,https://twitter.com/SkyTG24/status/1064567002784616448,Riscaldamento globale rallentato da scioglimento ghiacci antartici https://t.co/lLNJi353uM,https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/nmyEH', url='http://sky.tg/nmyEH', tcourl='https://t.co/lLNJi353uM', indices=(67, 90))]",0,7,1,1
2018-10-09 07:57:12+00:00,https://twitter.com/SkyTG24/status/1049569453044690944,"Riscaldamento globale, Australia all'Onu: non elimineremo il carbone https://t.co/FxYbOao9uf https://t.co/BQyN7IzTrh",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/2Nbfa', url='http://sky.tg/2Nbfa', tcourl='https://t.co/FxYbOao9uf', indices=(69, 92))]",5,14,2,2
2018-10-08 10:01:11+00:00,https://twitter.com/SkyTG24/status/1049238266908631041,"Riscaldamento globale, la road map dell'Onu per combatterlo https://t.co/ID51iAowkt https://t.co/2662nU92mp",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/2ngvs', url='http://sky.tg/2ngvs', tcourl='https://t.co/ID51iAowkt', indices=(60, 83))]",5,35,0,7
2018-09-10 15:36:11+00:00,https://twitter.com/SkyTG24/status/1039175714476503041,"Birra belga ""Lambic"" a rischio a causa del riscaldamento globale https://t.co/F4vdFY50CC https://t.co/tvBcpPIByc",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/2zs5v', url='http://sky.tg/2zs5v', tcourl='https://t.co/F4vdFY50CC', indices=(65, 88))]",1,4,1,1
2018-08-31 08:00:08+00:00,https://twitter.com/SkyTG24/status/1035437064190189569,Il riscaldamento globale ha reso i parassiti più voraci https://t.co/8Nfj5zHvPt https://t.co/IiVf12okBN,https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/jvqWw', url='http://sky.tg/jvqWw', tcourl='https://t.co/8Nfj5zHvPt', indices=(56, 79))]",6,5,0,9
2018-06-08 08:50:06+00:00,https://twitter.com/SkyTG24/status/1005009059370577922,"Riscaldamento globale modifica dimensioni di insetti, ragni, crostacei https://t.co/Y4SHBDdXzd https://t.co/k5Px9oIfVI",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/mA9x7', url='http://sky.tg/mA9x7', tcourl='https://t.co/Y4SHBDdXzd', indices=(71, 94))]",0,6,2,9
2018-01-05 12:43:12+00:00,https://twitter.com/SkyTG24/status/949259988517634048,"Barriera corallina, il riscaldamento globale ha l'effetto della guerra https://t.co/tdc3dyw4Jq #ambiente https://t.co/Mpr7XUbgjA",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/ngnc7', url='http://sky.tg/ngnc7', tcourl='https://t.co/tdc3dyw4Jq', indices=(71, 94))]",3,16,0,13
2017-12-15 15:00:10+00:00,https://twitter.com/SkyTG24/status/941684311035654146,Il riscaldamento globale uccide la biodiversità e il video choc dell'orso polare morente. Il quadro delle specie in pericolo a #TG24Pomeriggio con Olivia Tassara. https://t.co/OiLimgqSQq https://t.co/qcUIWZDZ47,https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/m8cyy', url='http://sky.tg/m8cyy', tcourl='https://t.co/OiLimgqSQq', indices=(163, 186))]",1,6,1,6
2017-12-06 19:52:05+00:00,https://twitter.com/SkyTG24/status/938496286453460992,VIDEO: Riscaldamento globale: le cause https://t.co/JqdiVO7cL1,https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/mrE23', url='http://sky.tg/mrE23', tcourl='https://t.co/JqdiVO7cL1', indices=(39, 62))]",1,5,0,2
2017-11-24 17:03:14+00:00,https://twitter.com/SkyTG24/status/934105138230366208,"#Riscaldamento globale, tutto quello che c’è da sapere sui #gas serra in 5 minuti ⤵️ https://t.co/tphyY55eeS",https://twitter.com/SkyTG24,,2,14,1,6
