,Data,url,raw,utente,links,risposte,like,quote,retweet
28,2019-03-11 09:02:45+00:00,https://twitter.com/Corriere/status/1105031295116161025,"Riscaldamento globale, perché tocca ai ragazzi  salvare il mondo https://t.co/E7dRSTMSH6 https://t.co/68rYDplVCY",https://twitter.com/Corriere,"[TextLink(text='csera.it/c28e6615UT', url='http://csera.it/c28e6615UT', tcourl='https://t.co/E7dRSTMSH6', indices=(65, 88))]",1,10,1,7
29,2019-02-09 20:09:07+00:00,https://twitter.com/Corriere/status/1094327355722661890,L’invasione degli orsi polari russi  (per colpa del  riscaldamento globale) https://t.co/P9AcFmoWaL https://t.co/1tDqIXWvGu,https://twitter.com/Corriere,"[TextLink(text='csera.it/a6e39413Cb', url='http://csera.it/a6e39413Cb', tcourl='https://t.co/P9AcFmoWaL', indices=(76, 99))]",4,47,2,17
30,2018-12-09 11:13:48+00:00,https://twitter.com/Corriere/status/1071724588680339456,Ceresani (ministero della famiglia) «Riscaldamento globale? È Satana»» Video https://t.co/kv9X48GtfF https://t.co/qKgGTi9AM3,https://twitter.com/Corriere,"[TextLink(text='csera.it/cf3b484eNm', url='http://csera.it/cf3b484eNm', tcourl='https://t.co/kv9X48GtfF', indices=(77, 100))]",28,9,9,3
31,2018-09-12 05:25:47+00:00,https://twitter.com/Corriere/status/1039746874230689792,Il riscaldamento globale è colpa dei gas serra. Ecco chi sono i negazionisti https://t.co/OxDHSzcZph https://t.co/LvVRt9TWBd,https://twitter.com/Corriere,"[TextLink(text='csera.it/f7dd1a93aX', url='http://csera.it/f7dd1a93aX', tcourl='https://t.co/OxDHSzcZph', indices=(77, 100))]",11,59,6,38
32,2017-12-07 23:11:53+00:00,https://twitter.com/Corriere/status/938908955673333761,L'orso polare che muore di fame per il riscaldamento globale Guarda il video https://t.co/3EY0GKgbrp https://t.co/RiK3G8lxKQ,https://twitter.com/Corriere,"[TextLink(text='csera.it/916c0df9EC', url='http://csera.it/916c0df9EC', tcourl='https://t.co/3EY0GKgbrp', indices=(77, 100))]",1,11,1,15
33,2017-12-07 21:50:47+00:00,https://twitter.com/Corriere/status/938888546349350912,L'orso polare che muore di fame per il riscaldamento globale https://t.co/3EY0GKgbrp https://t.co/1uljniscxI,https://twitter.com/Corriere,"[TextLink(text='csera.it/916c0df9EC', url='http://csera.it/916c0df9EC', tcourl='https://t.co/3EY0GKgbrp', indices=(61, 84))]",2,27,0,22
34,2017-06-27 13:04:49+00:00,https://twitter.com/Corriere/status/879686960771727361,Il riscaldamento globale causa il cambio di sesso in alcuni rettili https://t.co/jE8pqL5dXS https://t.co/tUv72mIo04,https://twitter.com/Corriere,"[TextLink(text='csera.it/1b8afe36Ir', url='http://csera.it/1b8afe36Ir', tcourl='https://t.co/jE8pqL5dXS', indices=(68, 91))]",7,16,3,10
35,2016-10-15 06:34:47+00:00,https://twitter.com/Corriere/status/787179899136212992,"Ambiente, raggiunto accordo tra 170 Paesi contro il riscaldamento globale del pianeta https://t.co/1QD5GXF30m https://t.co/5kNClBPKNM",https://twitter.com/Corriere,"[TextLink(text='goo.gl/sor1E7', url='https://goo.gl/sor1E7', tcourl='https://t.co/1QD5GXF30m', indices=(86, 109))]",0,14,0,13
36,2014-05-14 17:09:43+00:00,https://twitter.com/Corriere/status/466626421851308032,"#Tecnologia - Riscaldamento globale, le città del mondo sott’acqua: la simulazione http://t.co/I2hSUW9Iul",https://twitter.com/Corriere,"[TextLink(text='corriere.it/foto-gallery/t…', url='http://www.corriere.it/foto-gallery/tecnologia/cyber-cultura/14_maggio_13/citta-mondo-sott-acqua-2c5fab1c-daab-11e3-87dc-12e8f7025c68.shtml', tcourl='http://t.co/I2hSUW9Iul', indices=(83, 105))]",0,4,0,9
37,2014-05-14 10:48:30+00:00,https://twitter.com/Corriere/status/466530486030835712,"Riscaldamento globale, come sarebbero le città del mondo sott’acqua: la simulazione da Roma a New York http://t.co/I2hSUW9Iul",https://twitter.com/Corriere,"[TextLink(text='corriere.it/foto-gallery/t…', url='http://www.corriere.it/foto-gallery/tecnologia/cyber-cultura/14_maggio_13/citta-mondo-sott-acqua-2c5fab1c-daab-11e3-87dc-12e8f7025c68.shtml', tcourl='http://t.co/I2hSUW9Iul', indices=(103, 125))]",1,2,0,6
38,2013-09-27 15:35:46+00:00,https://twitter.com/Corriere/status/383615957031059456,Riscaldamento globale: al 95%  è colpa dell'uomo http://t.co/JA2qmj61jZ http://t.co/ej92jdaDqe,https://twitter.com/Corriere,"[TextLink(text='goo.gl/eIGxAD', url='http://goo.gl/eIGxAD', tcourl='http://t.co/JA2qmj61jZ', indices=(49, 71))]",2,2,0,7
39,2013-04-01 06:58:12+00:00,https://twitter.com/Corriere/status/318618279985958913,"Riscaldamento globale, la banchisa si estende nell'Antartico #daleggere su @lemondefr
http://t.co/evkZzkFpsZ",https://twitter.com/Corriere,"[TextLink(text='lemonde.fr/planete/articl…', url='http://www.lemonde.fr/planete/article/2013/03/31/en-antarctique-le-rechauffement-provoque-une-extension-de-la-banquise_3151102_3244.html', tcourl='http://t.co/evkZzkFpsZ', indices=(86, 108))]",0,1,0,6
40,2012-11-27 07:57:30+00:00,https://twitter.com/Corriere/status/273334719821778944,"Riscaldamento globale, le aziende possono trarne profitto? #daleggere su @theatlantic
http://t.co/gP5zzzPV",https://twitter.com/Corriere,"[TextLink(text='qz.com/30382/the-end-…', url='http://qz.com/30382/the-end-of-the-world-is-nigh-and-heres-who-stands-to-profit/', tcourl='http://t.co/gP5zzzPV', indices=(86, 106))]",0,1,0,6
41,2012-06-25 11:46:18+00:00,https://twitter.com/Corriere/status/217222179996184577,"#titolienumeri: New York sott'acqua entro 2300. Per riscaldamento globale livello dei mari aumenterà di 2,7 metri http://t.co/ymAPbZSd",https://twitter.com/Corriere,"[TextLink(text='corriere.it/esteri/12_giug…', url='http://www.corriere.it/esteri/12_giugno_25/riscaldamento-new-york-sommersa-acqua_79a6724c-beb1-11e1-8494-460da67b523f.shtml', tcourl='http://t.co/ymAPbZSd', indices=(114, 134))]",2,0,0,10
