Partiti,Tweet,Risultati,Colori,Tweet_p,Risultati_U25,25-34,Risultati_U35
LR,"[0.0, 3181, 0]",21.5,lightblue,0.000,11,9,9.853175307654332
RN,"[0.0007349853002939942, 9524, 7]",14.0,blue,0.037,14,13,13.426587653827166
ENS,"[0.002546885853206761, 4319, 11]",32.2,yellow,0.127,32,33,32.57341234617284
FI,"[0.008375682288725766, 10626, 89]",11.03,red,0.419,18,21,19.7202370385185
