Partiti,Tweet,Risultati,Colori,Tweet_p
AfD,"[0.0020026702269692926, 1498, 3]",10.81,lightblue,0.10
CDUCSU,"[0.0061562139284340135, 2599, 16]",24.1,black,0.31
FDP,"[0.006531204644412192, 1378, 9]",11.97,yellow,0.33
SPD,"[0.009607233681831025, 3539, 34]",25.7,red,0.48
Verdi,"[0.0218209179834462, 1329, 29]",14.8,green,1.09
