Partiti,Tweet,Risultati,Colori,Tweet_p
CDUCSU,"[0.0, 2821, 0]",32.9,black,0.00
AfD,"(0.0, 240, 0)",12.6,lightblue,0.00
FDP,"[0.00031426775612822125, 3182, 1]",10.7,yellow,0.02
SPD,"[0.00038895371450797355, 2571, 1]",20.5,red,0.02
Linke,"[0.0012014417300760913, 2497, 3]",9.2,purple,0.06
Verdi,"[0.006839945280437756, 1462, 10]",8.9,green,0.34
